File Name,Wt_mg,ID,N_pct,N_mg,N_area,C_pct,C_mg,C_area
07-Jul-20175.prm,26.109,Vg.E.Ee1.1.0-10.16,0.3412,0.0891,20.4367,5.3762,1.4037,780.4496
07-Jul-20176.prm,28.229,Vg.E.Ee2.1.0-10.16,0.3262,0.0921,21.0283,5.3263,1.5036,835.6905
07-Jul-20177.prm,25.891,Vg.E.L.1.0-10.16,0.3452,0.0894,20.4963,5.2682,1.364,758.4902
07-Jul-20178.prm,26.501,Vg.E.T.1.0-10.16,0.3705,0.0982,22.2347,6.0337,1.599,888.4573
07-Jul-20179.prm,27.393,Vg.E.Ee1.2.0-10.16,0.3556,0.0974,22.0781,5.9744,1.6366,909.2471
07-Jul-201710.prm,27.263,Vg.E.Ee2.2.0-10.16,0.2763,0.0753,17.7171,4.3119,1.1756,654.2925
07-Jul-201711.prm,25.866,Vg.E.L.2.0-10.16,0.3003,0.0777,18.1842,4.6269,1.1968,666.0381
07-Jul-201712.prm,28.263,Vg.E.T.2.0-10.16,0.3907,0.1104,24.652,5.1386,1.4523,807.3493
07-Jul-201713.prm,27.157,Vg.E.Ee1.3.0-10.16,0.258,0.0701,16.6814,4.2825,1.163,647.3456
07-Jul-201714.prm,27.637,Vg.E.Ee2.3.0-10.16,0.2132,0.0589,14.4811,3.3386,0.9227,514.4389
07-Jul-201721.prm,27.949,Vg.E.1.10-20.16,0.2891,0.0808,18.8008,4.4141,1.2337,686.4362
07-Jul-201722.prm,26.59,Vg.E.2.10-20.16,0.2622,0.0697,16.6104,3.9186,1.0419,580.3984
07-Jul-201723.prm,26.304,Vg.E.3.10-20.16,0.2119,0.0557,13.8508,3.2583,0.8571,478.1476
07-Jul-201724.prm,26.349,Vg.E.4.10-20.16,0.2401,0.0633,15.3354,3.8271,1.0084,561.8534
07-Jul-201725.prm,26.974,Vg.E.1.20-40.16,0.2224,0.06,14.6924,3.6255,0.978,545.006
07-Jul-201726.prm,27.416,Vg.E.2.20-40.16,0.2086,0.0572,14.1347,3.271,0.8968,500.1081
07-Jul-201727.prm,27.772,Vg.E.3.20-40.16,0.1781,0.0495,12.6112,2.8173,0.7824,436.8652
07-Jul-201728.prm,27.535,Vg.E.4.20-40.16,0.2094,0.0577,14.231,3.268,0.8998,501.8066
07-Jul-201730.prm,27.689,Vg.E.Ee1.1.40-60.16,0.2038,0.0564,13.9856,3.1561,0.8739,487.4546
07-Jul-201731.prm,26.511,Vg.E.Ee2.1.40-60.16,0.1897,0.0503,12.7728,2.7935,0.7406,413.7425
07-Jul-201732.prm,26.11,Vg.E.L.1.40-60.16,0.2319,0.0606,14.801,3.3734,0.8808,491.2805
07-Jul-201733.prm,26.218,Vg.E.T.1.40-60.16,0.2025,0.0531,13.3275,3.1231,0.8188,456.9928
07-Jul-201734.prm,27.771,Vg.E.T.2.40-60.16,0.1912,0.0531,13.3316,2.6861,0.746,416.7057
07-Jul-201735.prm,27.695,Vg.E.L.2.40-60.16,0.1427,0.0395,10.6458,2.2782,0.6309,353.0983
07-Jul-201736.prm,29.146,Vg.E.Ee1.2.40-60.16,0.1736,0.0506,12.8363,2.5418,0.7408,413.8732
07-Jul-201737.prm,29.414,Vg.E.Ee2.2.40-60.16,0.1469,0.0432,11.3744,2.0973,0.6169,345.3373
07-Jul-201738.prm,26.989,Vg.E.L.4.40-60.16,0.1702,0.0459,11.9122,2.4241,0.6542,365.9779
07-Jul-201739.prm,26.146,Vg.E.Ee2.4.40-60.16,0.1721,0.045,11.7313,2.4838,0.6494,363.3094
07-Jul-201740.prm,28.7,Vg.E.T.4.40-60.16,0.1701,0.0488,12.4822,2.3268,0.6678,373.4719
07-Jul-201741.prm,27.805,Vg.E.Ee1.4.40-60.16,0.2016,0.0561,13.9133,3.0578,0.8502,474.3707
07-Jul-201743.prm,27.194,Vg.E.1.60-100.16,0.1586,0.0431,11.3626,2.201,0.5985,335.1832
07-Jul-201744.prm,26.973,Vg.E.4.60-100.16,0.1338,0.0361,9.9708,1.9531,0.5268,295.5056
